Basic Fantasy Field Guide Omnibus to White Box conversion notes

Converted Field Guide entries added: 672.
Source: The Basic Fantasy Field Guide of Creatures Malevolent and Benign – Omnibus Edition, 1st Edition Release 4, © 2010–2025 Chris Gonnerman, R. Kevin Smoot, James Lemon, Matt Sluis, and Contributors. Textual material is Creative Commons Attribution-ShareAlike 4.0 International licensed.

General conversion rules applied:
- White Box ascending AC = BFRPG AC - 1. Where this site displays dual AC, the converted format is descending [ascending].
- Hit Dice were preserved. Each BFRPG asterisk adds one HDE step. Fractional HD plus asterisks were rounded up for HDE.
- Multiple attacks were compressed into a single White Box-style attack. Most ordinary multiattacks became a single 1d6-range attack, while especially large or high-damage attacks were retained as larger Xd6 attacks.
- Multi-column Field Guide entries and table variants were split into individual monster pages where the PDF presented distinct stat columns.
- Converted creatures are marked with a dagger (†) in indexes and tables. Their actual pages contain the Creative Commons source note.

Problems or judgment-call entries:
- Axolotl, Giant: the PDF text layer omits the title at a page break; I recovered the stat block manually from the page and noted this in parsing notes.
- Grave Dancer: BFRPG lists Hit Dice as Special because it cannot be damaged normally; I preserved Special HD and assigned White Box HDE 8 based on its Fighter 8 save, vampire-level Turning benchmark, and strong undead aura.
- Variable-HD creatures such as Ankheg, Boglin, Mushroom Men, Naga, Paper Tiger, Piercer, Remorhaz, and Roper retain variable HD/HDE/XP ranges rather than being split into every possible HD permutation.
- Creatures whose threat is mostly special effects (gaze, disease, mind swap, charm, paralysis, possession, acid corrosion, or spellcasting) received HDE adjustments from BFRPG asterisks, but their danger can vary widely by party level and preparation.
- Very large monsters and singular heavy attackers, such as Aerial Servant, Kraken-like entries if present, giant dinosaurs, and Xorn, use larger Xd6-style single attacks rather than the default 1d6-range attack.
- Several entries have source XP formulas or multiple source XP values. White Box XP was recalculated from converted HDE rather than copied directly from Basic Fantasy source XP.
- Shared category introductions, such as Advi, Bagobone, Bear, Brazen Spheres, Celestials, Deep Ones, Elemental, and Eurypterids, were prepended to their child entries when applicable.

Parser recovery notes:
- Recovered Axolotl, Giant manually because the title is omitted from the PDF text layer at the page break.

Index items not directly located in PDF text layer:
- Axolotl, Giant (printed page 17)

Converted entries:
- Aboleth: HD 8; HDE 10; XP 1,400; source p. 2.
- Infected, Humanoid: HD 2 or higher; HDE 2; XP 30; source p. 141.
- Infected, Owl Bear: HD 6; HDE 6; XP 400; source p. 142.
- Infected, Zombie: HD 3; HDE 3; XP 60; source p. 142.
- Demon, Agares: HD 7+7; HDE 8; XP 800; source p. 143.
- Demon, Arachnea: HD 6; HDE 7; XP 600; source p. 143.
- Demon, Balor: HD 8+8; HDE 9; XP 1,100; source p. 144.
- Demon, Barbed Devil: HD 8; HDE 9; XP 1,100; source p. 144.
- Demon, Baubas: HD 7; HDE 9; XP 1,100; source p. 145.
- Demon, Bone Devil: HD 9; HDE 10; XP 1,400; source p. 145.
- Demon, Creoboros: HD 8, 12 , 16 , 20; HDE 16; XP 3,200; source p. 146.
- Demon, Dread Horseman: HD 6 to 8; HDE 10; XP 1,400; source p. 146.
- Demon, Eldri: HD 9; HDE 11; XP 1,700; source p. 147.
- Demon, Erinyes: HD 7+2; HDE 8; XP 800; source p. 147.
- Demon, Fiend: HD 13; HDE 15; XP 2,900; source p. 148.
- Demon, Glabrezu: HD 10; HDE 11; XP 1,700; source p. 149.
- Demon, Hezrou: HD 10; HDE 12; XP 2,000; source p. 149.
- Demon, Ice Devil: HD 3; HDE 5; XP 240; source p. 149.
- Demon, Imp: HD 2; HDE 4; XP 120; source p. 150.
- Demon, Larva: HD 1; HDE 1; XP 15; source p. 151.
- Demon, Lemure: HD 3; HDE 3; XP 60; source p. 151.
- Demon, Malacoda: HD 5; HDE 7; XP 600; source p. 151.
- Demon, Malebranche: HD 5+5; HDE 7; XP 600; source p. 151.
- Demon, Manes: HD 1; HDE 2; XP 30; source p. 152.
- Demon, Marilith: HD 7; HDE 9; XP 1,100; source p. 152.
- Demon, Nalfeshni: HD 11; HDE 13; XP 2,300; source p. 153.
- Demon, Night Hag: HD 8; HDE 10; XP 1,400; source p. 153.
- Demon, Nightmare: HD 6+6; HDE 7; XP 600; source p. 154.
- Demon, Pazzu: HD 9; HDE 10; XP 1,400; source p. 155.
- Demon, Quasit: HD 2; HDE 4; XP 120; source p. 155.
- Demon, Rubicante: HD 4; HDE 6; XP 400; source p. 156.
- Demon, Shadow Fiend: HD 6, 8, 10, or 12; HDE 9 or 13; XP 1,100/2,300; source p. 156.
- Demon, Spined Devil: HD 8; HDE 9; XP 1,100; source p. 157.
- Demon, Succubus: HD 7; HDE 9; XP 1,100; source p. 158.
- Demon, Vega: HD 9; HDE 11; XP 1,700; source p. 158.
- Demon, Vrock: HD 8; HDE 9; XP 1,100; source p. 159.
- Inversegen: HD 5; HDE 5; XP 240; source p. 159.
- Iron Snapper: HD 6; HDE 7; XP 600; source p. 159.
- Issuv: HD 2; HDE 2; XP 30; source p. 160.
- Jack O'Lantern: HD 3; HDE 4; XP 120; source p. 160.
- Jackal: HD ½; HDE <1; XP 10; source p. 161.
- Jackalwere: HD 4; HDE 5; XP 240; source p. 161.
- Janni: HD 3+1; HDE 3; XP 60; source p. 161.
- Jellyfish, Giant: HD 1 to 4; HDE 1; XP 15; source p. 162.
- Jotenkin: HD 3+3; HDE 3; XP 60; source p. 162.
- Kappa: HD 4; HDE 4; XP 120; source p. 163.
- Kelpie: HD 2; HDE 3; XP 60; source p. 163.
- Kirin: HD 12; HDE 14; XP 2,600; source p. 163.
- Kraken: HD 36; HDE 38; XP 9,800; source p. 164.
- Kreptax: HD 2; HDE 2; XP 30; source p. 164.
- Krong Reap: HD 6; HDE 7; XP 600; source p. 165.
- Lamia: HD 6+1; HDE 8; XP 800; source p. 165.
- Lammasu: HD 6+2; HDE 7; XP 600; source p. 165.
- Lamprey (Giant): HD 5; HDE 5; XP 240; source p. 166.
- Lamprey (Normal): HD 1+2; HDE 1; XP 15; source p. 166.
- Leoporid, Great: HD 3; HDE 3; XP 60; source p. 166.
- Leprechaun: HD 1; HDE 3; XP 60; source p. 166.
- Lerini: HD 1; HDE 1; XP 15; source p. 167.
- Leucrotta: HD 6+1; HDE 6; XP 400; source p. 168.
- Lich: HD 10 or more see below; HDE 12; XP 2,000; source p. 168.
- Linnorm: HD 7; HDE 9; XP 1,100; source p. 169.
- Living Candlestick: HD 1; HDE 2; XP 30; source p. 170.
- Living Darkness: HD 4; HDE 6; XP 400; source p. 170.
- Living Furniture: HD 2 to 4; HDE 2; XP 30; source p. 170.
- Living Graveyard: HD 40; HDE 42; XP 11,000; source p. 171.
- Lizard, Fire: HD 7 to 12; HDE 9; XP 1,100; source p. 171.
- Lizard, Giant Minotaur: HD 8; HDE 8; XP 800; source p. 172.
- Lizard, Giant Subterranean: HD 6; HDE 6; XP 400; source p. 172.
- Lizard, Shocker: HD 2; HDE 3; XP 60; source p. 172.
- Loadstar: HD 2; HDE 2; XP 30; source p. 173.
- Lobizon: HD 3; HDE 5; XP 240; source p. 173.
- Locathah: HD 2; HDE 2; XP 30; source p. 174.
- Lonchani: HD 4; HDE 5; XP 240; source p. 174.
- Lotl: HD 6; HDE 7; XP 600; source p. 175.
- Lurker Above: HD 10; HDE 10; XP 1,400; source p. 175.
- Lycanthrope, Werecockroach: HD 3; HDE 5; XP 240; source p. 175.
- Lynx, Giant: HD 2+2; HDE 2; XP 30; source p. 176.
- Maggot-man: HD 4 (or more); HDE 5; XP 240; source p. 176.
- Magnystic Mite: HD 1 hit point; HDE 2; XP 30; source p. 177.
- Main Bush: HD 4; HDE 4; XP 120; source p. 112.
- Manticore, Fell: HD 5; HDE 7; XP 600; source p. 177.
- Marid: HD 8; HDE 9; XP 1,100; source p. 178.
- Megatherium (or Giant Sloth): HD 9; HDE 9; XP 1,100; source p. 178.
- Mesmerbelly: HD 1- 4; HDE 3; XP 60; source p. 178.
- Mimic: HD 7; HDE 9; XP 1,100; source p. 179.
- Mink: HD ½; HDE <1; XP 10; source p. 179.
- Missile Toad: HD 1-2 HP; HDE 1; XP 15; source p. 179.
- Mithridatium Bush: HD 3; HDE 4; XP 120; source p. 180.
- Mohrg: HD 14; HDE 16; XP 3,200; source p. 180.
- Mold, Deadly (Brown): HD 2; HDE 3; XP 60; source p. 181.
- Mold, Deadly (Yellow): HD 2; HDE 3; XP 60; source p. 181.
- Monachian: HD 4; HDE 4; XP 120; source p. 181.
- Monk-ee: HD 4; HDE 5; XP 240; source p. 182.
- Monkey: HD ½; HDE <1; XP 10; source p. 183.
- Monkeybear: HD 1; HDE 1; XP 15; source p. 183.
- Moonlight Butterfly: HD 2; HDE 3; XP 60; source p. 184.
- Moonshiner: HD 2; HDE 3; XP 60; source p. 184.
- Mosquito, Giant: HD ½; HDE 2; XP 30; source p. 185.
- Mushroom Men (Fungoids): HD 1 to 10; HDE 1; XP 15; source p. 185.
- Naga, Aquatic: HD 7 to 9; HDE 9; XP 1,100; source p. 186.
- Naga, Guardian: HD 11 to 13; HDE 13; XP 2,300; source p. 186.
- Naga, Spirit: HD 9 to 11; HDE 11; XP 1,700; source p. 186.
- Naiad: HD 3; HDE 4; XP 120; source p. 187.
- Nazgorean, Digester: HD 12; HDE 13; XP 2,300; source p. 188.
- Nazgorean, Eelbat: HD 1; HDE 2; XP 30; source p. 188.
- Nazgorean, Frogman: HD 3; HDE 3; XP 60; source p. 188.
- Nazgorean, Gray Render: HD 10; HDE 10; XP 1,400; source p. 189.
- Nazgorean, Hydramander: HD 8 to 12; HDE 8; XP 800; source p. 189.
- Nazgorean, Nehnite: HD 1d4 per MU level (AB +1 per MU level); HDE 2; XP 30; source p. 189.
- Nazgorean, Octospider: HD 1 to 6; HDE 3; XP 60; source p. 190.
- Nazgorean, Spiderwolf: HD 4; HDE 6; XP 400; source p. 191.
- Nazgorean, Tigersquid: HD 7; HDE 7; XP 600; source p. 191.
- Necrotic Ooze: HD 3; HDE 3; XP 60; source p. 192.
- Nok Tantima: HD 12; HDE 14; XP 2,600; source p. 193.
- Norker: HD 1+2; HDE 1; XP 15; source p. 193.
- Nymph: HD 3; HDE 5; XP 240; source p. 194.
- Octobat: HD 8; HDE 9; XP 1,100; source p. 194.
- Octopeople: HD 8; HDE 8; XP 800; source p. 195.
- Oculus Abyssi: HD 11; HDE 13; XP 2,300; source p. 196.
- Oculus Inferni: HD 9; HDE 10; XP 1,400; source p. 196.
- Oculus Rex (Common): HD 7; HDE 9; XP 1,100; source p. 197.
- Oculus Rex (Emperor): HD 13; HDE 15; XP 2,900; source p. 197.
- Oculus Somno: HD 8; HDE 9; XP 1,100; source p. 198.
- Oculus Vigilans: HD 4+4; HDE 6; XP 400; source p. 198.
- Odeum: HD 4; HDE 5; XP 240; source p. 199.
- Ogre Mage: HD 5+2; HDE 7; XP 600; source p. 199.
- Ogre, Bog: HD 4+1; HDE 5; XP 240; source p. 200.
- Ogre, Swamp: HD 16+11; HDE 16; XP 3,200; source p. 200.
- Ohberen: HD 4; HDE 4; XP 120; source p. 201.
- Omotharkin: HD 4; HDE 4; XP 120; source p. 201.
- Onocentaur: HD 3+3; HDE 3; XP 60; source p. 202.
- Ophidian: HD 3+1; HDE 4; XP 120; source p. 202.
- Orc, Snow: HD 1; HDE 2; XP 30; source p. 202.
- Orog: HD 3; HDE 3; XP 60; source p. 203.
- Orycleo: HD 5; HDE 5; XP 240; source p. 203.
- Orycleo, Snow: HD 5 No. of Attack: 2 claws, 1 bite; HDE 5; XP 240; source p. 204.
- Otter (Common): HD ½; HDE 2; XP 30; source p. 204.
- Otter (Giant): HD 5; HDE 5; XP 240; source p. 204.
- Otyugh: HD 6; HDE 7; XP 600; source p. 204.
- Owl, Giant: HD 6; HDE 6; XP 400; source p. 205.
- Owlbear, Northern: HD 8; HDE 8; XP 800; source p. 205.
- Owlbearlin: HD 3; HDE 3; XP 60; source p. 205.
- Owlwolf: HD 3; HDE 4; XP 120; source p. 206.
- Pangotherium: HD 7; HDE 7; XP 600; source p. 206.
- Paper Tiger: HD 7, 9, or 11; HDE 9 or 12; XP 1,100/2,000; source p. 207.
- Paraceratherium (Indricotherium): HD 12; HDE 12; XP 2,000; source p. 208.
- Peryton: HD 4; HDE 5; XP 240; source p. 208.
- Phaerim: HD 1d6 hp (1 HD); HDE 1; XP 15; source p. 208.
- Phantom Fungus: HD 2; HDE 2; XP 30; source p. 209.
- Phoenix: HD 9; HDE 11; XP 1,700; source p. 209.
- Phouka: HD 5; HDE 6; XP 400; source p. 210.
- Piercer (or Stalag): HD 1 to 4; HDE 1; XP 15; source p. 210.
- Pipe Beast: HD 6+6; HDE 7; XP 600; source p. 211.
- Pixie, Ward: HD 1; HDE 2; XP 30; source p. 212.
- Plague Hound: HD 4; HDE 5; XP 240; source p. 212.
- Poludnitsa: HD 3; HDE 4; XP 120; source p. 213.
- Porcupine, Giant: HD 6; HDE 6; XP 400; source p. 213.
- Praying Mantis, Giant: HD 5; HDE 5; XP 240; source p. 214.
- Prince Frog: HD 2; HDE 3; XP 60; source p. 214.
- Pseudodragon: HD 2; HDE 3; XP 60; source p. 215.
- Pseudowyvern: HD 3; HDE 4; XP 120; source p. 215.
- Quinotaur: HD 8+3; HDE 9; XP 1,100; source p. 215.
- Rabbidrake: HD 1; HDE 2; XP 30; source p. 216.
- Rabbit Prince: HD 10; HDE 11; XP 1,700; source p. 216.
- Raccoon, Giant: HD 5; HDE 5; XP 240; source p. 217.
- Raggidy: HD 3; HDE 3; XP 60; source p. 217.
- Rakshasa: HD 7; HDE 9; XP 1,100; source p. 218.
- Rakun: HD 1d6 HP; HDE 1; XP 15; source p. 218.
- Ram, War: HD 3; HDE 3; XP 60; source p. 219.
- Ram, Wild: HD 2; HDE 2; XP 30; source p. 219.
- Ramfrog: HD 1 HP; HDE 2; XP 30; source p. 220.
- Raptorsapien: HD 6; HDE 6; XP 400; source p. 220.
- Rat Dog: HD 3; HDE 3; XP 60; source p. 221.
- Ray (Manta): HD 9; HDE 9; XP 1,100; source p. 221.
- Ray (Pungi): HD 4; HDE 4; XP 120; source p. 221.
- Ray (Sting): HD 1; HDE 1; XP 15; source p. 221.
- Red Cap: HD 3; HDE 4; XP 120; source p. 222.
- Remorhaz: HD 7 to 14; HDE 9; XP 1,100; source p. 222.
- Resonated: HD 3; HDE 4; XP 120; source p. 223.
- Rhek: HD 3; HDE 3; XP 60; source p. 223.
- Rock Bat: HD 2; HDE 3; XP 60; source p. 223.
- Rock Roller: HD 4; HDE 5; XP 240; source p. 224.
- Roper: HD 10 to 12; HDE 12; XP 2,000; source p. 224.
- Rot Vulture: HD 2; HDE 2; XP 30; source p. 225.
- Rousirl: HD 2; HDE 2; XP 30; source p. 225.
- Sabre Worm: HD 10; HDE 11; XP 1,700; source p. 226.
- Sahuagin: HD 2+2; HDE 3; XP 60; source p. 226.
- Salamander, Wind: HD 10; HDE 11; XP 1,700; source p. 226.
- Sasquatch: HD 5+5; HDE 5; XP 240; source p. 227.
- Satyr: HD 5; HDE 6; XP 400; source p. 227.
- Scarecrow, Dread: HD 4 + 2; HDE 6; XP 400; source p. 228.
- Scarecrow, Living (Normal): HD 4 + 2; HDE 5; XP 240; source p. 228.
- Scarecrow, Living (Small): HD 2 + 2; HDE 3; XP 60; source p. 228.
- Scrab: HD 5; HDE 6; XP 400; source p. 229.
- Sea Cat: HD 11; HDE 11; XP 1,700; source p. 229.
- Sea Hag: HD 4+1; HDE 4; XP 120; source p. 229.
- Sea Lion: HD 6; HDE 6; XP 400; source p. 231.
- Sea Monster: HD 7 to 12; HDE 7; XP 600; source p. 231.
- Sea-Ghast: HD 2; HDE 4; XP 120; source p. 113.
- Sea-Ghoul: HD 2; HDE 3; XP 60; source p. 113.
- Seahorse, Giant: HD 2; HDE 2; XP 30; source p. 230.
- Selkie: HD 4; HDE 5; XP 240; source p. 231.
- Serpent, Giant Devouring: HD 36; HDE 38; XP 9,800; source p. 232.
- Shackile: HD 3; HDE 3; XP 60; source p. 233.
- Shambler (Greater): HD 13; HDE 15; XP 2,900; source p. 233.
- Shambler (Lesser): HD 3; HDE 5; XP 240; source p. 233.
- Shark, Megalodon: HD 12; HDE 12; XP 2,000; source p. 234.
- Shedu: HD 9+9; HDE 10; XP 1,400; source p. 234.
- Sheep, Giant: HD 4; HDE 4; XP 120; source p. 234.
- Shield Guardian: HD 15+20; HDE 17; XP 3,500; source p. 234.
- Sicklemore Tree: HD 4 to 8; HDE 6; XP 400; source p. 235.
- Skeletal Flayer: HD 1; HDE 2; XP 30; source p. 235.
- Skeletal Legs: HD ½; HDE <1; XP 10; source p. 236.
- Skeletal Steed: HD 3; HDE 3; XP 60; source p. 236.
- Skeleton, Crimson Bones: HD 2; HDE 3; XP 60; source p. 237.
- Skeleton, Diseased: HD 2; HDE 2; XP 30; source p. 237.
- Skeleton, Gellybone: HD 2; HDE 2; XP 30; source p. 238.
- Skeleton, Haunted Bones: HD 3; HDE 3; XP 60; source p. 238.
- Skeleton, Lake: HD 2; HDE 3; XP 60; source p. 238.
- Skeleton, Lava Lake: HD 7+2; HDE 8; XP 800; source p. 239.
- Skeleton, Pitch: HD 6; HDE 7; XP 600; source p. 240.
- Skerraxis: HD 3; HDE 3; XP 60; source p. 240.
- Skragg: HD 4; HDE 5; XP 240; source p. 240.
- Skum: HD 2; HDE 3; XP 60; source p. 2.
- Skunk, Giant: HD 5; HDE 5; XP 240; source p. 240.
- Slime, Gold: HD 3; HDE 4; XP 120; source p. 241.
- Slime, Red: HD 1 to 6; HDE 3; XP 60; source p. 241.
- Slithering Tracker: HD 5; HDE 5; XP 240; source p. 242.
- Slug, Giant: HD 12; HDE 12; XP 2,000; source p. 242.
- Slug, Spitting: HD 2; HDE 4; XP 120; source p. 242.
- Small Bush: HD 2; HDE 2; XP 30; source p. 112.
- Smouldergeist: HD 12; HDE 14; XP 2,600; source p. 243.
- Snail, Giant: HD 6; HDE 7; XP 600; source p. 243.
- Snail, Giant Barb: HD 4 or 4 (poisonous); HDE 4 or 5; XP 120/240; source p. 244.
- Snail, Giant Cone: HD 3; HDE 4; XP 120; source p. 244.
- Snail, Giant Pounder: HD 2; HDE 2; XP 30; source p. 244.
- Snake, Amphisbaena: HD 6; HDE 6; XP 400; source p. 244.
- Snake, Clockwork Razor: HD 2; HDE 2; XP 30; source p. 245.
- Snake, Giant Rattlesnake: HD 2; HDE 3; XP 60; source p. 245.
- Snake, Hoop: HD 1; HDE 2; XP 30; source p. 245.
- Snake, Rainbow: HD 4; HDE 5; XP 240; source p. 246.
- Snake, Uktena: HD 9; HDE 10; XP 1,400; source p. 246.
- Snake, Vampire: HD 2; HDE 4; XP 120; source p. 247.
- Snake, Vort: HD 1+2 No of Attacks: 1 bite; HDE 2; XP 30; source p. 247.
- Spellgoat: HD ½; HDE 2; XP 30; source p. 247.
- Spellripper: HD 1; HDE 2; XP 30; source p. 247.
- Sphinx, Androsphinx: HD 9 to 12; HDE 11; XP 1,700; source p. 248.
- Sphinx, Criosphinx: HD 10 to 12; HDE 12; XP 2,000; source p. 248.
- Sphinx, Gynosphinx: HD 8 to 11; HDE 10; XP 1,400; source p. 248.
- Sphinx, Hieracosphinx: HD 9 to 11; HDE 11; XP 1,700; source p. 249.
- Spider, Giant Bola: HD 4; HDE 5; XP 240; source p. 249.
- Spider, Giant Diving Bell: HD 4; HDE 5; XP 240; source p. 250.
- Spider, Giant Ice: HD 6; HDE 7; XP 600; source p. 250.
- Spider, Giant Shrieking Tarantula: HD 7 No of Attacks: 1 bite; HDE 8; XP 800; source p. 250.
- Spider, Giant Trapdoor: HD 4; HDE 5; XP 240; source p. 251.
- Spider, Giant Water: HD 3+3 No of Attacks: 1 bite; HDE 4; XP 120; source p. 251.
- Spider, Giant Wolf: HD 9; HDE 10; XP 1,400; source p. 251.
- Spider, Humming: HD 1; HDE 2; XP 30; source p. 252.
- Spider, Phase: HD 9+1; HDE 9; XP 1,100; source p. 252.
- Spider, Steel: HD 5; HDE 7; XP 600; source p. 252.
- Spider, Time: HD 4; HDE 6; XP 400; source p. 253.
- Spirit of Vengeance: HD 10; HDE 12; XP 2,000; source p. 253.
- Strix: HD 1+1; HDE 3; XP 60; source p. 254.
- Suiko: HD 6; HDE 6; XP 400; source p. 163.
- Sun’s Child: HD 10; HDE 11; XP 1,700; source p. 254.
- Swamp Monster: HD 5; HDE 6; XP 400; source p. 255.
- Swanmay (and Black Swanmay): HD 4; HDE 5; XP 240; source p. 255.
- Sylph: HD 3; HDE 5; XP 240; source p. 256.
- Syring: HD 3; HDE 4; XP 120; source p. 256.
- Syring Juggernaut: HD 12; HDE 13; XP 2,300; source p. 256.
- Tapper: HD 3; HDE 3; XP 60; source p. 257.
- Telethia: HD 7; HDE 9; XP 1,100; source p. 257.
- Tendriculos: HD 9; HDE 10; XP 1,400; source p. 258.
- Tentacled Horror: HD 10+20; HDE 11; XP 1,700; source p. 258.
- Tentacled Shroom (or Tentacle Fungi): HD 6; HDE 6; XP 400; source p. 258.
- Terror Bird: HD 3; HDE 3; XP 60; source p. 259.
- Thulid: HD 1 to 8 (1 to 8 if a Magic-user); HDE 7; XP 600; source p. 259.
- Thulid, Great Brain: HD 9 No of Attacks: Special; HDE 11; XP 1,700; source p. 261.
- Thunderbird: HD 5; HDE 6; XP 400; source p. 261.
- Tick, Giant: HD 1; HDE 2; XP 30; source p. 262.
- Tiger: HD 6; HDE 6; XP 400; source p. 263.
- Timber Wolf: HD 18; HDE 19; XP 4,100; source p. 263.
- Tommyknocker: HD 2; HDE 2; XP 30; source p. 263.
- Torok: HD 2; HDE 2; XP 30; source p. 264.
- Trachodon): HD 12; HDE 12; XP 2,000; source p. 75.
- Trapper: HD 9 to 12; HDE 11; XP 1,700; source p. 265.
- Treant, Apple: HD 8; HDE 9; XP 1,100; source p. 265.
- Treant, Undead: HD 10; HDE 10; XP 1,400; source p. 266.
- Tree-Fox: HD 1; HDE 1; XP 15; source p. 266.
- Trelanx: HD 4; HDE 4; XP 120; source p. 266.
- Triton: HD 5 to 7; HDE 5; XP 240; source p. 267.
- Trobold: HD ½; HDE 3; XP 60; source p. 267.
- Troll, Marsh: HD 7; HDE 8; XP 800; source p. 268.
- Troll, Moon: HD 12; HDE 14; XP 2,600; source p. 268.
- Troll, Night: HD 8; HDE 9; XP 1,100; source p. 269.
- Troll, Rock: HD 8; HDE 9; XP 1,100; source p. 269.
- Turtle, Giant Sea: HD 15; HDE 15; XP 2,900; source p. 270.
- Turtle, Giant Snapping: HD 10; HDE 10; XP 1,400; source p. 270.
- Tusker (Eyvique): HD 2+2; HDE 2; XP 30; source p. 271.
- Twilight Hound: HD 5 to 9; HDE 7; XP 600; source p. 271.
- Tymera: HD 11; HDE 13; XP 2,300; source p. 271.
- Tyrannobeak: HD 18; HDE 18; XP 3,800; source p. 272.
- Uhul: HD 3; HDE 4; XP 120; source p. 272.
- Ursavis: HD 8; HDE 9; XP 1,100; source p. 273.
- Ushac: HD 1-1; HDE 2; XP 30; source p. 273.
- Vermen: HD 1+1 No of Attacks: 1 bite or 1 weapon; HDE 1; XP 15; source p. 274.
- Vermin Queen: HD 6; HDE 8; XP 800; source p. 274.
- Vihm (Ratling): HD ½; HDE <1; XP 10; source p. 275.
- Violet Fungus: HD 2; HDE 3; XP 60; source p. 275.
- Wanstrow: HD 4 (+9 see below); HDE 4; XP 120; source p. 275.
- Wasp, Giant: HD 4+1; HDE 5; XP 240; source p. 276.
- Water Leaper: HD 5; HDE 6; XP 400; source p. 276.
- Water Weird: HD HD 3+3; HDE 5; XP 240; source p. 276.
- Wayai Otter: HD 8; HDE 8; XP 800; source p. 277.
- Whippersnapper: HD 2+1; HDE 2; XP 30; source p. 277.
- Wick Warden: HD 4; HDE 4; XP 120; source p. 277.
- Will-o’-Wisp: HD 9; HDE 11; XP 1,700; source p. 278.
- Wind Walker: HD 6+3; HDE 8; XP 800; source p. 278.
- Winged Devourer: HD 6 Attacks: 1 bite or 2 talons, special attack; HDE 6 or 2; XP 400/30; source p. 278.
- Wolf, Winter: HD 6; HDE 7; XP 600; source p. 279.
- Wolf (Winter & Worg) (Worg): HD 3; HDE 3; XP 60; source p. 279.
- Wolf, Wind: HD 8; HDE 9; XP 1,100; source p. 279.
- Wolpertinger: HD 2; HDE 2; XP 30; source p. 280.
- Wolverine (Giant): HD 4; HDE 4; XP 120; source p. 280.
- Wolverine (Normal): HD 3; HDE 3; XP 60; source p. 280.
- Wondrous Guardian Automaton: HD 4; HDE 5; XP 240; source p. 280.
- Worm Man: HD 3; HDE 5; XP 240; source p. 281.
- Wretchling: HD 5; HDE 6; XP 400; source p. 282.
- Wug: HD 1; HDE 1; XP 15; source p. 283.
- Xorn: HD 7+1; HDE 9; XP 1,100; source p. 283.
- Yeti: HD 4+4; HDE 5; XP 240; source p. 284.
- Yowie: HD 6+2; HDE 7; XP 600; source p. 284.
- Zexhund: HD 2; HDE 2; XP 30; source p. 285.
- Zombie Horse: HD 3; HDE 4; XP 120; source p. 285.
- Zombie, Flesh Eater: HD 2; HDE 2; XP 30; source p. 285.
- Zombie, Hexcore: HD 3; HDE 4; XP 120; source p. 286.
- Zombie, Leper: HD 1; HDE 2; XP 30; source p. 286.
- Zoog: HD ½; HDE <1; XP 10; source p. 286.

Site packaging note:
- Removed the redundant All Monsters page (`monsters/all.html`) and Complete Text page (`full-text.html`), and removed navigation/footer links to them.

Follow-up cleanup pass:
- Converted attack damage entries using dice smaller than d6 were normalized toward 1d6-1, with medium dice normalized toward 1d6, 1d6+1, or 1d6+2, and very large attacks retained as Xd6 where appropriate.
- Redundant Hit Dice Equivalent and Experience Points rows were removed from monster stat blocks, leaving the combined HDE/XP row.
- Collapsible Basic Fantasy source-stat details were removed from converted creature pages, and Creative Commons source notes were moved to the bottom of those pages.
